Categoria DMI;Categoria Final
Centralitas para hogares inteligentes;Hogar Inteligente (IoT)
Cepillos dentales el√©ctricos;Hogar Inteligente (IoT)
Cepillos para el cabello y peines;Hogar Inteligente (IoT)
Cerraduras electromagn√©ticas;CCTV & Seguridad
Cerraduras inteligentes;Hogar Inteligente (IoT)
Chasis PC;Componentes PC
Chasis de Red;Redes Pro (Switch L2/L3, Transceivers, Racks)
Cinta luminosa;Hogar Inteligente (IoT)
Cinta t√©rmica;Consumibles
Cintas para Etiquetas;Consumibles
Colectores de toner;Consumibles
Compresores de aire;Otros
Comprobadores de suministro de energ√≠a;SAI & EnergÌa
Conectores;Cables & Adaptadores
Conmutadores de transferencia autom√°tica (ATS);SAI & EnergÌa
Contadores de dinero;PerifÈricos (Teclado, RatÛn, Webcams)
Controlador RAID;Componentes PC
Controladores de velocidad del ventilador;Componentes PC
Controles de Acceso;CCTV & Seguridad
Convertidor de Smart TV;AV & SeÒalizaciÛn Pro
Convertidores de Red;Redes (SoHo & SMB)
Convertidores de V√≠deo;AV & SeÒalizaciÛn Pro
Cortadoras de c√©sped;Hogar Inteligente (IoT)
Cortadoras de pelo y maquinillas;Hogar Inteligente (IoT)
Cortadores;Hogar Inteligente (IoT)
Cortadores de verduras en espiral y ralladores el√©ctricos;Hogar Inteligente (IoT)
Cortafuegos (hardware);CCTV & Seguridad
Crimpadoras;Cables & Adaptadores
Cuerdas para saltar;Hogar Inteligente (IoT)
C√°maras Deportivas;CCTV & Seguridad
C√°maras Web;PerifÈricos (Teclado, RatÛn, Webcams)
C√°maras de Vigilancia;CCTV & Seguridad
C√°maras de videoconferencia;CCTV & Seguridad
C√°maras de visi√≥n trasera para bicicletas;CCTV & Seguridad
Depiladores;Hogar Inteligente (IoT)
Deshumidificadores;Hogar Inteligente (IoT)
Despertadores;Hogar Inteligente (IoT)
Destornilladores;Otros
Destornilladores el√©ctricos y llaves de impacto;Otros
Detectores de agua;CCTV & Seguridad
Detectores de billetes falsos;CCTV & Seguridad
Detectores de fugas de l√≠quidos;CCTV & Seguridad
Detectores de humo inteligentes;CCTV & Seguridad
Detectores de movimiento;CCTV & Seguridad
Difusores de aroma;Hogar Inteligente (IoT)
Discos Duros Externos;Almacenamiento (SSD, HDD, Externo)
Discos Duros Externos SSD;Almacenamiento (SSD, HDD, Externo)
Discos Duros Internos;Almacenamiento (SSD, HDD, Externo)
Discos Duros Internos SSD;Almacenamiento (SSD, HDD, Externo)
Dispensadores de agua;Hogar Inteligente (IoT)
Dispensadores de jab√≥n;Hogar Inteligente (IoT)
Dispositivos para redes celulares;Redes (SoHo & SMB)
Divisores de cable coaxial;AV & SeÒalizaciÛn Pro
Dongles Smart TV;AV & SeÒalizaciÛn Pro
Enchufes inteligentes;Hogar Inteligente (IoT)
Enfriadores de vino;Hogar Inteligente (IoT)
Entrenador de abdominales;Hogar Inteligente (IoT)
Equipos de refrigeraci√≥n para racks;Servidores & Datacenter
Escritorios Gaming;Gaming (PC & Consola)
Esc√°neres;Impresoras & MultifunciÛn
Estaciones Base;Redes Pro (Switch L2/L3, Transceivers, Racks)
Estaciones Dock para M√≥viles;TelefonÌa & Wearables
Estaciones de planchado de vapor;Hogar Inteligente (IoT)
Estaciones de trabajo sentado o de pie;Soportes & Montaje
Estaciones meteorol√≥gicas digitales;Hogar Inteligente (IoT)
Estructuras regulables para escritorio;Soportes & Montaje
Estufas de combustible l√≠quido;Hogar Inteligente (IoT)
Etiquetas RFID;CCTV & Seguridad
Etiquetas de Impresora;Consumibles
Exprimidores;Hogar Inteligente (IoT)
Extensiones de la Garant√≠a;Software & Licencias
Filtros para Monitor;Monitores & Pro Displays
Fregonas;Hogar Inteligente (IoT)
Freidoras;Hogar Inteligente (IoT)
Fuentes de Alimentaci√≥n;SAI & EnergÌa
Fundas;Accesorios & Fundas
Fundas Auriculares;Accesorios & Fundas
Fundas para Ebooks;Accesorios & Fundas
Fundas para M√≥viles;Accesorios & Fundas
Fundas para Tablets;Accesorios & Fundas
Fundas para consolas port√°tiles;Accesorios & Fundas
Fundas y estuches para discos externos;Accesorios & Fundas
Fusores;Consumibles
Gafas para ordenador;Accesorios & Fundas
Gofreras;Hogar Inteligente (IoT)
Grabadores v√≠deo en red NVR;CCTV & Seguridad
Hornos;Hogar Inteligente (IoT)
Hornos tostadores;Hogar Inteligente (IoT)
Hub USB;PerifÈricos (Teclado, RatÛn, Webcams)
Humidificadores;Hogar Inteligente (IoT)
Impresoras 3D;Impresoras & MultifunciÛn
Impresoras L√°ser/Led;Impresoras & MultifunciÛn
Impresoras Matriciales;Impresoras & MultifunciÛn
Impresoras Multifunci√≥n;Impresoras & MultifunciÛn
Impresoras Port√°tiles;Impresoras & MultifunciÛn
Impresoras de Etiquetas Adhesivas;Impresoras & MultifunciÛn
Impresoras de Etiquetas POS;Impresoras & MultifunciÛn
Impresoras de Inyecci√≥n;Impresoras & MultifunciÛn
Interruptores KVM;PerifÈricos (Teclado, RatÛn, Webcams)
Interruptores de luz;Hogar Inteligente (IoT)
Irrigador oral;Hogar Inteligente (IoT)
Jabones;Hogar Inteligente (IoT)
Juegos de cuchillos y cuberter√≠a de cocina;Hogar Inteligente (IoT)
Kit Mantenimiento;Componentes PC
Kit de Montaje Bah√≠as;Componentes PC
Kit de Montaje Wifi;Redes (SoHo & SMB)
Kit montaje en azulejo;Hogar Inteligente (IoT)
Kit para c√°maras;CCTV & Seguridad
Kits de timbre;Hogar Inteligente (IoT)
Lector Grabador √ìptico;Componentes PC
Lector de Tarjetas;PerifÈricos (Teclado, RatÛn, Webcams)
Lector de tarjeta inteligente;CCTV & Seguridad
Lectores RFID;CCTV & Seguridad
Lectores de c√≥digo barras;PerifÈricos (Teclado, RatÛn, Webcams)
Lectores de huella digital;CCTV & Seguridad
Lectores de tarjeta magn√©tica;CCTV & Seguridad
Licencias y Actualizaciones;Software & Licencias
Licuadoras;Hogar Inteligente (IoT)
Limitador de Tensi√≥n;SAI & EnergÌa
Limpiador de vapor;Hogar Inteligente (IoT)
Limpiadoras de alta presi√≥n o Hidrolimpiadoras;Hogar Inteligente (IoT)
Limpiadores el√©ctricos ventana;Hogar Inteligente (IoT)
Limpiadores generales;Hogar Inteligente (IoT)
Linternas;Hogar Inteligente (IoT)
Llaveros;Hogar Inteligente (IoT)
Luces nocturnas;Hogar Inteligente (IoT)
L√°mparas de emergencia;SAI & EnergÌa
L√°mparas de mesa;Hogar Inteligente (IoT)
L√°mparas para paneles LED;Hogar Inteligente (IoT)
L√°piz Digital;PerifÈricos (Teclado, RatÛn, Webcams)
Maletines para Port√°tiles;Accesorios & Fundas
Mandos a Distancia;Hogar Inteligente (IoT)
Mandos de entrada sin llave y llaves electr√≥nicas inal√°mbricas;Hogar Inteligente (IoT)
Mandos, Volantes y Joysticks;Gaming (PC & Consola)
Mantas el√©ctricas;Hogar Inteligente (IoT)
Mantenimiento y reparaci√≥n de bicicletas;Otros
Marco fotogr√°fico digital;Hogar Inteligente (IoT)
Masajeadores;Hogar Inteligente (IoT)
Materiales de Impresi√≥n 3D;Componentes PC
Memoria RAM;Componentes PC
Menaje;Otros
Mesas de escritorio;Hogar Inteligente (IoT)
Mesh Wi-Fi Systems;Redes (SoHo & SMB)
Mezcladores de audio;Audio (Auriculares, Altavoces, MicrÛfonos)
Microondas;Hogar Inteligente (IoT)
Micr√≥fonos;Audio (Auriculares, Altavoces, MicrÛfonos)
Mini PC¬¥s Barebones;Sobremesa & All-in-One
Mochilas;Accesorios & Fundas
Mochilas de excursi√≥n;Accesorios & Fundas
Molinillos de caf√©;Hogar Inteligente (IoT)
Monitores PC;Monitores & Pro Displays
Monitores POS;Monitores & Pro Displays
Monitores de ritmo card√≠aco;Hogar Inteligente (IoT)
Monitores para videoconferencias;Monitores & Pro Displays
Montajes para Proyectores;Soportes & Montaje
Montajes y soportes para tel√©fonos;Soportes & Montaje
Muebles y soportes para dispositivos multimedia;Soportes & Montaje
Mulltisensores smart home;Hogar Inteligente (IoT)
Multiherramientas giratorias;Otros
M√°quinas de limpieza de alfombras;Hogar Inteligente (IoT)
M√°quinas de remo;Hogar Inteligente (IoT)
M√°quinas de step;Hogar Inteligente (IoT)
M√°quinas productoras de hielo;Hogar Inteligente (IoT)
M√≥dems;Redes (SoHo & SMB)
M√≥dulos de Conmutador de Red;Redes Pro (Switch L2/L3, Transceivers, Racks)
M√≥dulos de conectores de red;Redes Pro (Switch L2/L3, Transceivers, Racks)
M√≥viles Senior;TelefonÌa & Wearables
Navegadores;TelefonÌa & Wearables
No categorizado;Otros
Ollas a presi√≥n;Hogar Inteligente (IoT)
Ollas multi-cocci√≥n;Hogar Inteligente (IoT)
Ordenador para bicicletas;Hogar Inteligente (IoT)
Organizadores de cables;Cables & Adaptadores
Organizadores para colgar;Accesorios & Fundas
Organizadores para estaci√≥n de carga;Accesorios & Fundas
PC¬¥s Sobremesa;Sobremesa & All-in-One
PDA y Smartphones Rugerizados;TelefonÌa & Wearables
Palos Selfie;Accesorios & Fundas
Paneles de control t√°ctil;Hogar Inteligente (IoT)
Paneles de parcheo;Redes Pro (Switch L2/L3, Transceivers, Racks)
Pantallas de Proyecci√≥n;Monitores & Pro Displays
Pantallas interactivas;Monitores & Pro Displays
Pantallas murales de v√≠deo;Monitores & Pro Displays
Papel Fotogr√°fico;Consumibles
Papel T√©rmico;Consumibles
Parrillas de interior;Hogar Inteligente (IoT)
Parrillas el√©ctricas de contacto;Hogar Inteligente (IoT)
Partes y accesorios para sillas para videojuegos;Accesorios & Fundas
Pasacables;Cables & Adaptadores
Pasarelas y controladores;Redes Pro (Switch L2/L3, Transceivers, Racks)
Pasta T√©rmica;Componentes PC
Patinete El√©ctrico;Otros
Pedalinas;Hogar Inteligente (IoT)
Pelacables;Cables & Adaptadores
Pel√≠culas instant√°neas;Accesorios & Fundas
Pendrives USB;Almacenamiento (SSD, HDD, Externo)
Piezas de repuesto;Otros
Piezas de repuesto para equipos de red;Redes Pro (Switch L2/L3, Transceivers, Racks)
Pilas;SAI & EnergÌa
Pistolas de clavos y grapadoras;Otros
Pistolas y l√°pices de silicona caliente;Otros
Pizarras digitales;Monitores & Pro Displays
Placas;Componentes PC
Placas base;Componentes PC
Placas de pared y cubiertas de interruptor;Hogar Inteligente (IoT)
Placas solares;SAI & EnergÌa
Planchas;Hogar Inteligente (IoT)
Planchas el√©ctricas;Hogar Inteligente (IoT)
Plataformas de infraestructura modular;Redes Pro (Switch L2/L3, Transceivers, Racks)
Port√°tiles;Port·tiles & Convertibles
Powerbanks;SAI & EnergÌa
Powerline;Redes (SoHo & SMB)
Prensas de c√≠tricos el√©ctricos;Hogar Inteligente (IoT)
Procesadores;Componentes PC
Procesadores de comida;Hogar Inteligente (IoT)
Protectores de Pantalla;Accesorios & Fundas
Pulseras de Actividad;Hogar Inteligente (IoT)
Pulverizadores de pintura;Hogar Inteligente (IoT)
Puntero para Presentaciones;Videoconferencia
Punteros;Videoconferencia
Puntos de Acceso;Redes (SoHo & SMB)
Radar y luces de bicicleta;Hogar Inteligente (IoT)
Radios;Audio (Auriculares, Altavoces, MicrÛfonos)
Radios CD;Audio (Auriculares, Altavoces, MicrÛfonos)
Rastreadores gps;Hogar Inteligente (IoT)
Rasuradora de pelusa;Hogar Inteligente (IoT)
Ratones;PerifÈricos (Teclado, RatÛn, Webcams)
Rebanadoras;Hogar Inteligente (IoT)
Recambios de tinta;Consumibles
Regletas;SAI & EnergÌa
Regletas inteligentes;SAI & EnergÌa
Reguladores;SAI & EnergÌa
Reguladores de carga para paneles solares;SAI & EnergÌa
Reguladores de voltaje;SAI & EnergÌa
Reguladores inteligentes de luz;SAI & EnergÌa
Repetidores;Redes (SoHo & SMB)
Replicadores de Puertos;PerifÈricos (Teclado, RatÛn, Webcams)
Reposamu√±ecas;Hogar Inteligente (IoT)
Reproductores LP;Audio (Auriculares, Altavoces, MicrÛfonos)
Robots de cocina;Hogar Inteligente (IoT)
Robots limpiacristales;Hogar Inteligente (IoT)
Routers Wireless;Redes (SoHo & SMB)
Routers con cable;Redes (SoHo & SMB)
SAI (UPS);SAI & EnergÌa
Sacacorchos;Hogar Inteligente (IoT)
Sandwicheras;Hogar Inteligente (IoT)
Sartenes y cazuelas;Hogar Inteligente (IoT)
Scooters El√©ctricos;Otros
Secadoras el√©ctricas para toallas;Hogar Inteligente (IoT)
Secadores;Hogar Inteligente (IoT)
Seguridad y Antivirus;Software & Licencias
Selladores de vac√≠o;Hogar Inteligente (IoT)
Sensores de puertas y ventanas;Hogar Inteligente (IoT)
Sensores de temperatura y humedad;Hogar Inteligente (IoT)
Servidores;Servidores & Datacenter
Servidores NAS;Servidores & Datacenter
Sierra el√©ctrica;Otros
Silla Gaming;Gaming (PC & Consola)
Sirenas;Audio (Auriculares, Altavoces, MicrÛfonos)
Sistema de Altavoces;Audio (Auriculares, Altavoces, MicrÛfonos)
Sistema de aire acondicionado dividido;Hogar Inteligente (IoT)
Sistemas Operativos;Software & Licencias
Sistemas de Audio;Audio (Auriculares, Altavoces, MicrÛfonos)
Sistemas de alimentaci√≥n;SAI & EnergÌa
Sistemas de intercomunicaci√≥n de video;CCTV & Seguridad
Sistemas de seguridad;CCTV & Seguridad
Sistemas de seguridad inteligente;Hogar Inteligente (IoT)
Sistemas de videoconferencia;Videoconferencia
Smartphones;TelefonÌa & Wearables
Smartphones & Mobile Phones Accessories;Accesorios & Fundas
Smartwatches;TelefonÌa & Wearables
Soportes;Soportes & Montaje
Soportes TV Pared;Soportes & Montaje
Soportes TV Suelo;Soportes & Montaje
Soportes de altavoces;Soportes & Montaje
Soportes de seguridad para tabletas;Soportes & Montaje
Soportes para CPU;Soportes & Montaje
Soportes para Monitor;Soportes & Montaje
Soportes para el apoyo de pies;Soportes & Montaje
Soportes para micr√≥fono;Soportes & Montaje
Soportes para pantallas murales de v√≠deo en pared;Soportes & Montaje
Soportes y bases;Soportes & Montaje
Soportes y monturas para estaciones de trabajo/ PC todo en uno;Soportes & Montaje
Soportes, Accesorios y Recambios;Soportes & Montaje
Splitter;Cables & Adaptadores
Splitter V√≠deo;AV & SeÒalizaciÛn Pro
Spray Aire Comprimido;Accesorios & Fundas
Sujecci√≥n para Cables;Cables & Adaptadores
Switches;Redes (SoHo & SMB)
Switches de Video;AV & SeÒalizaciÛn Pro
TDT y receptores sat√©lite;AV & SeÒalizaciÛn Pro
TPVs y Monitores;Monitores & Pro Displays
Tabletas de firma digital;PerifÈricos (Teclado, RatÛn, Webcams)
Tabletas gr√°ficas;Tablets & eReaders
Tablets;Tablets & eReaders
Tablets de escritura;Tablets & eReaders
Taladros;Hogar Inteligente (IoT)
Tambores de Impresoras;Consumibles
Tapones antipolvo para puertos;Componentes PC
Tarjetas Controladoras;Componentes PC
Tarjetas Gr√°ficas;Componentes PC
Tarjetas de Audio;Componentes PC
Tarjetas de Memorias Flash;Almacenamiento (SSD, HDD, Externo)
Teclados;PerifÈricos (Teclado, RatÛn, Webcams)
Teclados Num√©ricos;PerifÈricos (Teclado, RatÛn, Webcams)
Teclados para M√≥viles/Tablets;PerifÈricos (Teclado, RatÛn, Webcams)
Televisores LED;Monitores & Pro Displays
Televisores port√°tiles;Monitores & Pro Displays
Tel√©fonos fijos;TelefonÌa & Wearables
Tel√©fonos para conferencias;TelefonÌa & Wearables
Tel√©metro;Hogar Inteligente (IoT)
Terminales de l√≠neas √≥pticas;Redes Pro (Switch L2/L3, Transceivers, Racks)
Termostatos;Hogar Inteligente (IoT)
Term√≥metros ambientales;Hogar Inteligente (IoT)
Toallitas Limpieza Pantallas;Accesorios & Fundas
Tomas de pared con USB;Hogar Inteligente (IoT)
Tostadores;Hogar Inteligente (IoT)
Transceptores;Redes Pro (Switch L2/L3, Transceivers, Racks)
Transmisores smart home;Hogar Inteligente (IoT)
Trolley;Accesorios & Fundas
Tubos termorretr√°ctiles;Cables & Adaptadores
T√≥ner y Cartuchos L√°ser;Consumibles
Unidades/terminales de red √≥ptica (ONT/ONU);Redes Pro (Switch L2/L3, Transceivers, Racks)
Utensilios de peinado;Hogar Inteligente (IoT)
Vapores;Hogar Inteligente (IoT)
Vaporizadores para ropa;Hogar Inteligente (IoT)
Ventiladores;Hogar Inteligente (IoT)
Videoconsolas port√°tiles;Gaming (PC & Consola)
Videograbadores digitales;CCTV & Seguridad
Videoproyector;Monitores & Pro Displays
Visores de Cliente;Monitores & Pro Displays
V√°lvulas termost√°ticas de radiadores;Hogar Inteligente (IoT)
